trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1460,False,"{'a': 0.001, 'e': 0.1115635927329511}",25,11,13.515874284400399,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1461,False,"{'a': 0.001, 'e': 0.11056977982006959}",30,12,25.729924223555066,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1462,False,"{'a': 0.001, 'e': 0.10957585633741725}",25,18,12.447663483196678,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1463,False,"{'a': 0.001, 'e': 0.10858182327891792}",20,13,12.487934035284349,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1464,False,"{'a': 0.001, 'e': 0.10758768163860415}",30,19,18.099809846110755,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1465,False,"{'a': 0.001, 'e': 0.10659343241061792}",20,14,13.017718567113532,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1466,False,"{'a': 0.001, 'e': 0.10559907658920793}",20,16,9.313836793733484,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1467,False,"{'a': 0.001, 'e': 0.10460461516873039}",25,17,15.945487534557497,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1468,False,"{'a': 0.001, 'e': 0.10361004914364617}",20,7,14.821776438600072,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
1469,False,"{'a': 0.001, 'e': 0.10261537950852166}",30,22,17.600326936525157,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1470,False,"{'a': 0.001, 'e': 0.10162060725802598}",20,10,15.217596895348668,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1471,False,"{'a': 0.001, 'e': 0.10062573338693173}",30,16,26.909564204231664,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1472,False,"{'a': 0.001, 'e': 0.09963075889011225}",20,8,20.54286367661748,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1473,False,"{'a': 0.001, 'e': 0.0986356847625424}",30,21,3.9950350902244267,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1474,False,"{'a': 0.001, 'e': 0.0976405119992958}",25,18,15.115383739339302,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1475,False,"{'a': 0.001, 'e': 0.09664524159554555}",25,16,17.133462932212637,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1476,False,"{'a': 0.001, 'e': 0.09564987454656154}",30,19,13.86619910354681,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
1477,False,"{'a': 0.001, 'e': 0.09465441184771117}",25,14,20.870131830055524,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1478,False,"{'a': 0.001, 'e': 0.09365885449445663}",20,13,16.30172738730274,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1479,False,"{'a': 0.001, 'e': 0.09266320348235561}",20,12,13.619366564334872,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1480,False,"{'a': 0.001, 'e': 0.09166745980705862}",20,11,19.040726928841988,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1481,False,"{'a': 0.001, 'e': 0.09067162446430968}",20,5,20.184743058874783,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1482,False,"{'a': 0.001, 'e': 0.0896756984499436}",25,17,16.9348784663799,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1483,False,"{'a': 0.001, 'e': 0.08867968275988677}",20,14,9.542591311675109,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1484,False,"{'a': 0.001, 'e': 0.08768357839015435}",25,18,14.455273054505557,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1485,False,"{'a': 0.001, 'e': 0.08668738633685107}",20,11,18.246703758313995,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1486,False,"{'a': 0.001, 'e': 0.08569110759616845}",30,16,20.105239142030623,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1487,False,"{'a': 0.001, 'e': 0.0846947431643856}",20,13,13.78682476143034,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1488,False,"{'a': 0.001, 'e': 0.08369829403786642}",20,13,11.096458329324712,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1489,False,"{'a': 0.001, 'e': 0.0827017612130604}",30,21,16.076292807915,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1490,False,"{'a': 0.001, 'e': 0.08170514568649984}",25,18,12.237118368518772,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1491,False,"{'a': 0.001, 'e': 0.08070844845480063}",30,20,18.830325181182783,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1492,False,"{'a': 0.001, 'e': 0.07971167051465945}",25,13,21.97347041152742,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1493,False,"{'a': 0.001, 'e': 0.07871481286285463}",20,11,8.560661500893168,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1494,False,"{'a': 0.001, 'e': 0.07771787649624329}",20,14,10.948640835051243,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1495,False,"{'a': 0.001, 'e': 0.07672086241176215}",25,17,15.29092141684437,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1496,False,"{'a': 0.001, 'e': 0.07572377160642477}",25,13,12.298277246227176,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1497,False,"{'a': 0.001, 'e': 0.0747266050773223}",30,18,24.829143904139258,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1498,False,"{'a': 0.001, 'e': 0.07372936382162078}",25,6,26.119967568211734,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
1499,False,"{'a': 0.001, 'e': 0.0727320488365618}",25,13,3.5640172292585497,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
1500,False,"{'a': 0.001, 'e': 0.07173466111945981}",30,13,35.309148856973984,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1501,False,"{'a': 0.001, 'e': 0.0707372016677029}",25,20,9.128034344715935,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1502,False,"{'a': 0.001, 'e': 0.06973967147875001}",30,12,20.527137455078304,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1503,False,"{'a': 0.001, 'e': 0.06874207155013168}",20,11,-25.559778677367678,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
1504,False,"{'a': 0.001, 'e': 0.06774440287944729}",25,14,22.699983704436264,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1505,False,"{'a': 0.001, 'e': 0.06674666646436589}",20,12,18.031937488280306,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1506,False,"{'a': 0.001, 'e': 0.06574886330262336}",30,19,23.03288654009671,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1507,False,"{'a': 0.001, 'e': 0.06475099439202324}",25,14,17.233538657735437,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1508,False,"{'a': 0.001, 'e': 0.06375306073043391}",30,19,20.264905148276487,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1509,False,"{'a': 0.001, 'e': 0.06275506331578937}",25,11,-37.862539723354345,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
1510,False,"{'a': 0.001, 'e': 0.06175700314608652}",25,17,18.019693580589852,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1511,False,"{'a': 0.001, 'e': 0.0607588812193859}",20,11,18.93560165043448,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1512,False,"{'a': 0.001, 'e': 0.059760698533808894}",20,11,16.41305913070883,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1513,False,"{'a': 0.001, 'e': 0.058762456087538564}",25,12,13.823509324490653,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1514,False,"{'a': 0.001, 'e': 0.057764154878816816}",20,13,11.601272094259112,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1515,False,"{'a': 0.001, 'e': 0.05676579590594523}",30,22,13.918105334584883,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1516,False,"{'a': 0.001, 'e': 0.05576738016728224}",20,10,20.54414337940055,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1517,False,"{'a': 0.001, 'e': 0.05476890866124396}",25,15,22.689542381689957,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1518,False,"{'a': 0.001, 'e': 0.05377038238630136}",20,16,5.626988993586787,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1519,False,"{'a': 0.001, 'e': 0.05277180234098107}",25,19,8.995349248565097,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1520,False,"{'a': 0.001, 'e': 0.05177316952386262}",30,12,28.183257473960765,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1521,False,"{'a': 0.001, 'e': 0.05077448493357918}",30,16,24.594139939131182,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1522,False,"{'a': 0.001, 'e': 0.049775749568814816}",20,13,14.087748786140386,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,13,16.02545431319708,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
